obs_id,sex,length_obs_s,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb,bin,tank,time,fish_ID,cue
C02V3,male,58.33,2.25,1,34.749,1.251,0,7.249,4.763,3.496,6.36,13.242,22.5,0,8,ST2C14,after,ST2C14M,control
C02V3,male,55.83,1,1,17.244,0,0,4.503,15.079,2.994,11.493,0.999,20.496,0,9,ST2C14,after,ST2C14M,control
C03V1,female,66.16,NA,NA,NA,0.499,0,0,15.498,12.252,1.612,28.986,7.25,0,0,ST2C8,before,ST2C8F,control
C03V1,female,57.83,NA,NA,NA,0,0,40.914,12.495,3.5,0,0,0,1,1,ST2C8,before,ST2C8F,control
C03V1,female,57.83,NA,NA,NA,0,0,26.82,10.998,6.241,2.249,11.253,0,0,2,ST2C8,before,ST2C8F,control
C03V1,female,66.09,NA,NA,NA,2.167,0,17.995,8.999,14.243,7.246,13.494,3.42,0,3,ST2C8,before,ST2C8F,control
C03V1,female,57.83,NA,NA,NA,0,0,7,4.246,4.544,13.995,12.87,14.896,0,4,ST2C8,before,ST2C8F,control
C03V1,female,57.83,NA,NA,NA,3.253,0,30.894,0,12.495,0.331,12.998,0,0,5,ST2C8,before,ST2C8F,control
C03V1,female,57.83,NA,NA,NA,0,0,16.249,11.92,5.243,4.748,12.249,6.75,0,6,ST2C8,before,ST2C8F,control
C03V1,female,66.09,NA,NA,NA,3.498,0,16.958,2.498,17.489,5.403,17.25,5.999,0,7,ST2C8,before,ST2C8F,control
C03V1,female,57.83,NA,NA,NA,0,0,25.616,0,15.487,0,16.25,0,0,8,ST2C8,before,ST2C8F,control
C03V1,female,57.83,NA,NA,NA,44.96,0,1.902,0,1.75,0,53.715,0,0,9,ST2C8,before,ST2C8F,control
C03V1,female,16.16,NA,NA,NA,6.615,0,0,0,0,0,15.108,0,0,10,ST2C8,before,ST2C8F,control
C03V1,male,66.16,0,0,0,0,0,20.36,16.996,15.249,5.745,6.998,0,0,0,ST2C8,before,ST2C8M,control
C03V1,male,57.83,0,0,5.994,0,0,38.413,15.5,3.251,0,0,0,0,1,ST2C8,before,ST2C8M,control
C03V1,male,57.83,0,0,0.502,0,0,34.072,2.744,12.299,0.75,7.247,0,0,2,ST2C8,before,ST2C8M,control
C03V1,male,66.09,0.998,1,13.999,0.749,1.606,12.74,17.498,14.493,12.701,7.999,0,0,3,ST2C8,before,ST2C8M,control
C03V1,male,57.83,0,0,0,0,0,0,0,2.749,16.996,14.998,22.615,0,4,ST2C8,before,ST2C8M,control
C03V1,male,57.83,0,0,6.753,0,0,39.962,0,5.502,3.496,0,8.403,0,5,ST2C8,before,ST2C8M,control
C03V1,male,57.83,0,0,3.25,0,0,28.826,2.747,4.499,0,15.497,5.998,0,6,ST2C8,before,ST2C8M,control
C03V1,male,66.09,0,0,0.997,0,0,33.246,20.493,1.752,9.928,0,0,0,7,ST2C8,before,ST2C8M,control
C03V1,male,57.83,0,0,3.751,0,0,45.926,0.997,7.245,0.401,3,0,0,8,ST2C8,before,ST2C8M,control
C03V1,male,57.83,0,0,0,0,0,22.749,0,0.001,30.963,0,3.246,0,9,ST2C8,before,ST2C8M,control
C03V1,male,16.16,0,0,0,0,0,0,11.611,0,2.748,0,1.402,0,10,ST2C8,before,ST2C8M,control
C03V2,female,66.16,NA,NA,NA,13.747,0,2.002,0,10.569,0,52.908,0,0,0,ST2C8,after,ST2C8F,control
C03V2,female,57.83,NA,NA,NA,4,0,2.742,0,16.367,0,38.388,0,0,1,ST2C8,after,ST2C8F,control
C03V2,female,57.83,NA,NA,NA,1,0,12.742,5.003,15.689,5.497,10.904,7.499,0,2,ST2C8,after,ST2C8F,control
C03V2,female,66.09,NA,NA,NA,0,0,46.41,1.752,14.402,2.249,0.998,0,0,3,ST2C8,after,ST2C8F,control
C03V2,female,57.83,NA,NA,NA,4.002,0,25.423,0,14.246,0,16.995,0,0,4,ST2C8,after,ST2C8F,control
C03V2,female,57.83,NA,NA,NA,0,0,25.613,13.496,8.489,6.748,2.998,0,0,5,ST2C8,after,ST2C8F,control
C03V2,female,57.83,NA,NA,NA,0,0,31.95,7.501,14.986,1.751,0.754,0,0,6,ST2C8,after,ST2C8F,control
C03V2,female,66.09,NA,NA,NA,2.499,0,31.993,0.497,16.746,0.499,10.916,4.5,0,7,ST2C8,after,ST2C8F,control
C03V2,female,57.83,NA,NA,NA,3.002,0,15.495,2.001,11.819,4.249,20.209,3.498,0,8,ST2C8,after,ST2C8F,control
C03V2,female,57.83,NA,NA,NA,0,0,19.589,0.749,30.987,0,5.998,0,0,9,ST2C8,after,ST2C8F,control
C03V2,female,7.93,NA,NA,NA,0,0,0,0,0,0,7.213,0,0,10,ST2C8,after,ST2C8F,control
C03V2,male,66.16,0,0,10.11,0,0,19.153,24.746,6.248,0,15.615,0,0,0,ST2C8,after,ST2C8M,control
C03V2,male,57.83,2,1,15.722,0,0,7.499,0,24.593,0,25.468,0,0,1,ST2C8,after,ST2C8M,control
C03V2,male,57.83,0,0,25.753,0,0,11.743,7.242,17.246,7.752,10.372,2.998,0,2,ST2C8,after,ST2C8M,control
C03V2,male,66.09,0,0,25.309,0,0,44.459,0,14.148,6.251,0.75,0,0,3,ST2C8,after,ST2C8M,control
C03V2,male,57.83,1.257,2,8.239,0,0,32.863,0,12.997,0,11.494,0,0,4,ST2C8,after,ST2C8M,control
C03V2,male,57.83,1.749,2,12.752,0,0,26.419,15.749,6.243,6.999,2.001,0,0,5,ST2C8,after,ST2C8M,control
C03V2,male,57.83,2.999,1,17.997,0,0,29.551,11.848,9.243,4.993,1.742,0,0,6,ST2C8,after,ST2C8M,control
C03V2,male,66.09,0,0,39.001,0,0,31.484,2.967,18.746,1.497,7.249,2.499,0,7,ST2C8,after,ST2C8M,control
C03V2,male,57.83,0,0,23.647,0,0,21.745,7.152,8.501,4.739,10.464,4.75,0,8,ST2C8,after,ST2C8M,control
C03V2,male,57.83,1,1,29.25,0,0,17.503,2.994,30.686,0,6.364,0,0,9,ST2C8,after,ST2C8M,control
C03V2,male,7.93,0,0,0,0,0,0,0,0,0,7.52,0,0,10,ST2C8,after,ST2C8M,control
C04V1,female,65.39,NA,NA,NA,0.25,0,35.363,2.749,10.401,0.995,15.495,0,0,0,ST2C12,before,ST2C12F,control
C04V1,female,55.98,NA,NA,NA,0,0,29.118,26.353,0,0,0,0,0,1,ST2C12,before,ST2C12F,control
C04V1,female,65.31,NA,NA,NA,1.752,0,27.999,17.898,0.499,6.997,0.499,8.858,0,2,ST2C12,before,ST2C12F,control
C04V1,female,55.98,NA,NA,NA,4.755,0,18.36,0,6.994,0,30.151,0,0,3,ST2C12,before,ST2C12F,control
C04V1,female,65.31,NA,NA,NA,4.749,0,26.896,14,5.365,2.245,7.492,8.753,0,4,ST2C12,before,ST2C12F,control
C04V1,female,55.98,NA,NA,NA,2.255,0,11.959,9.996,3.25,4.996,7.249,18.114,0,5,ST2C12,before,ST2C12F,control
C04V1,female,65.31,NA,NA,NA,0,0,45.175,17.5,2.246,0,0,0,0,6,ST2C12,before,ST2C12F,control
C04V1,female,55.98,NA,NA,NA,18.751,0,8.242,8.153,2.502,0,36.651,0,0,7,ST2C12,before,ST2C12F,control
C04V1,female,55.98,NA,NA,NA,9.998,0,0,31.105,0,3.501,11.15,9.75,0,8,ST2C12,before,ST2C12F,control
C04V1,female,65.31,NA,NA,NA,0,0,0,4.744,0,34.74,0,24.347,0,9,ST2C12,before,ST2C12F,control
C04V1,female,13.29,NA,NA,NA,1.253,0,0,0,0,0,6.614,5.747,0,10,ST2C12,before,ST2C12F,control
C04V1,male,65.39,3.249,2,53.86,0,0,33.963,4,12.899,0.748,13.497,0,0,0,ST2C12,before,ST2C12M,control
C04V1,male,55.98,0.751,1,27.205,0,0,20.394,33.436,1.752,0,0,0,0,1,ST2C12,before,ST2C12M,control
C04V1,male,65.31,4.972,4,34.746,0,0,26.248,19.898,0.746,6.987,0,10.974,0,2,ST2C12,before,ST2C12M,control
C04V1,male,55.98,0,0,5.251,10.556,0,5.251,0,5.747,0,43.861,0.654,0,3,ST2C12,before,ST2C12M,control
C04V1,male,65.31,0,0,16.221,5.998,0,11.754,9.496,7.407,3.496,20.003,12.748,0,4,ST2C12,before,ST2C12M,control
C04V1,male,55.98,5.257,3,22.623,0.751,0,9.361,9.747,3.995,5.751,10.998,15.65,0,5,ST2C12,before,ST2C12M,control
C04V1,male,65.31,5.241,4,24.863,0,0,41.806,10.001,11.494,0,1.75,0,0,6,ST2C12,before,ST2C12M,control
C04V1,male,55.98,1.503,1,22.24,7.466,0,8.147,7.001,3.249,1.25,35.964,0,0,7,ST2C12,before,ST2C12M,control
C04V1,male,55.98,0,0,34.354,0,0,0,31.613,0,2.997,10.9,9.997,0,8,ST2C12,before,ST2C12M,control
C04V1,male,65.31,1.002,1,42.062,0,0,0,5.396,0,36.992,0,22.624,0,9,ST2C12,before,ST2C12M,control
C04V1,male,13.29,1.999,1,2.249,0,0,0,0,0,0.977,2.748,9.151,0,10,ST2C12,before,ST2C12M,control
C04V2,female,65.39,NA,NA,NA,8.505,0,19.248,7.492,3.002,9.902,6.746,18.719,0,0,ST2C12,after,ST2C12F,control
C04V2,female,55.98,NA,NA,NA,7.009,0,3.499,4.496,2.998,2.249,16.619,21.245,0,1,ST2C12,after,ST2C12F,control
C04V2,female,65.31,NA,NA,NA,8.499,0,15.008,10.749,2.49,1.999,18.257,16.25,0,2,ST2C12,after,ST2C12F,control
C04V2,female,55.98,NA,NA,NA,1.003,0,16.25,2.747,7.964,2.497,19.747,6.001,0,3,ST2C12,after,ST2C12F,control
C04V2,female,65.31,NA,NA,NA,0,0,35.612,0,19.49,0,8.996,0,0,4,ST2C12,after,ST2C12F,control
C04V2,female,55.98,NA,NA,NA,0,0.753,24.25,3.001,9.128,0,18.24,0,0,5,ST2C12,after,ST2C12F,control
C04V2,female,65.31,NA,NA,NA,5.256,0,25.996,17.917,2.747,1.399,7.249,9.749,0,6,ST2C12,after,ST2C12F,control
C04V2,female,27.88,NA,NA,NA,0,0,2.653,0.997,0,0,5.75,18.115,0,7,ST2C12,after,ST2C12F,control
C04V2,male,65.39,0,0,9.003,5,1.002,10.998,9.498,9.495,10.496,4.999,19.161,0,0,ST2C12,after,ST2C12M,control
C04V2,male,55.98,0,0,1.217,17.51,0,0,6.748,3.496,9.249,3.358,32.646,0,1,ST2C12,after,ST2C12M,control
C04V2,male,65.31,0,0,17.256,14.998,0,10,0,8.743,0,45.365,0,0,2,ST2C12,after,ST2C12M,control
