obs_id,length_obs_s,sex,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb
C08V1001,58.330,male,0,0,11.496,0,0,32.244,25.815,0,0,0,0,0
C08V1002,58.330,male,0,0,9.997,0,0,22.246,32.363,2.000,1.249,0,0,0
C08V1003,58.330,male,0,0,14.749,0,0,23.244,8.652,10.989,0.001,6.997,8.169,1
C08V1004,58.330,male,4.504,3,1.247,0,0,21.214,0.998,28.995,4.501,0.997,1.153,0
C08V1005,66.670,male,0,0,2.248,0,0,0.902,13.666,7.749,18.735,15.746,9.496,0
C08V1006,58.330,male,1.502,1,1.749,0,0,14.998,16.400,1.253,22.901,0,2.501,0
C08V1007,58.330,male,4.428,2,8.254,0,0.573,5.627,0,0.498,2.401,10.744,38.752,0
C08V1008,58.330,male,0.750,1,11.252,0,0,12.138,6.004,22.500,4.999,3.632,8.811,0
C08V1009,58.330,male,0,0,0,0,0,0,1.250,2.750,29.915,2.399,21.746,0
C08V1010,2.530,male,0,0,0,0,0,0,0,0,2.019,0,0,0
C08V2000,66.730,male,0.751,1,9.491,0,0,0,0.249,5.002,42.643,5.240,13.083,0
C08V2001,58.330,male,0,0,0,0,0,0,2.991,8.224,28.746,0,17.892,1
C08V2002,58.330,male,0,0,11.253,2.500,0,0,9.161,0.152,12.996,9.497,26.244,0
C08V2003,58.330,male,0.746,1,0.997,3.248,0,0,15.649,0,8.506,0,33.903,0
C08V2004,58.330,male,0,0,0,0.497,0,0,1.744,0,20.657,0,35.657,0
C08V2005,66.670,male,0,0,5.366,2.997,0,0,0,0,41.114,2.998,22.239,0
C08V2006,58.330,male,1.499,1,18.000,5.250,0,0,0,0,18.652,0.499,38.909,0
C08V2007,58.330,male,0,0,17.210,0,0,0,0.998,0,17.991,0,39.072,0
C08V2008,58.330,male,0,0,23.500,0.996,0,0,0,0,5.997,2.496,49.519,0
C08V2009,58.330,male,4.500,2,5.251,0,0,0,4.249,4.001,17.331,6.740,25.743,0
C08V2010,5.100,male,0,0,0,0,0,0,0,0,0,0,4.612,0
C09V1000,66.730,male,0,0,0,0,0,10.255,22.121,12.744,18.885,0,2.251,0
C09V1001,58.330,male,0,0,0,0,3.501,0,44.118,0,13.744,0,0,0
C09V1002,58.330,male,0,0,0,0,0,23.749,31.324,0,2.999,0,0,0
C09V1003,58.330,male,0,0,0.588,0,2.000,12.004,37.647,0,1.499,0,6.713,0
C09V1004,58.330,male,0.496,1,10.500,0,0,0.500,0,2.744,20.711,4.248,29.646,0
C09V1005,66.670,male,0.500,1,26.246,0,0,0,2.903,0,9.248,6.748,47.350,0
