ID,cue,sex,tank,shoal_side,int_L_s,int_L_lat_s,int_R_s,int_R_lat_s,tight_L_s,tight_L_lat_s,tight_R_s,tight_r_lat_s,lse_L_s,lse_L_lat_s,lse_R_s,lse_R_lat_s,int_shoal_s,int_shoal_lat_s,int_emp_s,int_emp_lat_s,tight_shoal_s,tight_shoal_lat_s,tight_emp_s,tight_emp_lat_s,lse_shoal_s,lse_shoal_lat_s,lse_emp_s,lse_emp_lat_s,int_diff_s,int_lat_diff_s,tight_diff_s,tight_lat_diff_s,lse_diff_s,lse_lat_diff_s
C6F3,c,f,C6,left,0,300,262.708,9.05433,0,300,11.5327,8.12907,0,300,16.2912,5.08893,262.708,9.05433,0,300,11.5327,8.12907,0,300,16.2912,5.08893,0,300,262.708,290.94567,11.5327,291.87093,16.2912,294.91107
C6F4,c,f,C6,left,0,300,276.116,3.3044,0,300,12.788,156.397,0,300,5.74966,1.1235,276.116,3.3044,0,300,12.788,156.397,0,300,5.74966,1.1235,0,300,276.116,296.6956,12.788,143.603,5.74966,298.8765
C6M3,c,m,C6,left,15.399,169.62,103.233,8.12907,4.89066,168.298,36.5478,7.17076,14.0111,163.275,33.1772,4.92371,103.233,8.12907,15.399,169.62,36.5478,7.17076,4.89066,168.298,33.1772,4.92371,14.0111,163.275,87.834,161.49093,31.657140000000002,161.12724,19.1661,158.35129
C6M4,c,m,C6,left,0,300,96.3592,23.0654,0,300,56.0113,15.3659,3.37059,214.462,82.8438,8.65779,96.3592,23.0654,0,300,56.0113,15.3659,0,300,82.8438,8.65779,3.37059,214.462,96.3592,276.9346,56.0113,284.6341,79.47321,205.80420999999998
C7F2,c,f,C7,left,20.435,156.846,183.315,0.733392,3.53362,156.079,12.9677,12.7677,8.40067,153.146,21.3684,44.3369,183.315,0.733392,20.435,156.846,12.9677,12.7677,3.53362,156.079,21.3684,44.3369,8.40067,153.146,162.88,156.112608,9.434080000000002,143.31130000000002,12.967730000000001,108.80909999999999
C7M2,c,m,C7,left,32.3398,44.4089,98.5864,5.40108,7.63486,23.2046,17.9369,4.76762,34.3735,18.537,29.9393,1.3336,98.5864,5.40108,32.3398,44.4089,17.9369,4.76762,7.63486,23.2046,29.9393,1.3336,34.3735,18.537,66.2466,39.00782,10.302040000000002,18.43698,-4.434200000000001,17.2034
C7M3,c,m,C7,left,5.63378,19.5682,103.708,87.407,5.86714,18.5348,62.005,62.005,13.6678,12.9677,56.4045,3.03358,103.708,87.407,5.63378,19.5682,62.005,62.005,5.86714,18.5348,56.4045,3.03358,13.6678,12.9677,98.07422,-67.83879999999999,56.13786,-43.470200000000006,42.7367,9.93412
C7M5,c,m,C7,left,0,300,244.486,1.76681,0,300,45.237,36.6696,0,300,5.80046,37.6697,244.486,1.76681,0,300,45.237,36.6696,0,300,5.80046,37.6697,0,300,244.486,298.23319,45.237,263.3304,5.80046,262.3303
AC2F6,ac,f,AC2,right,285.79,14.2678,0,300,1.23343,12.6343,0,300,0.733392,11.6009,0,300,285.79,14.2678,0,300,1.23343,12.6343,0,300,0.733392,11.6009,0,300,285.79,285.7322,1.23343,287.3657,0.733392,288.3991
AC2F7,ac,f,AC2,right,129.144,6.36718,38.4697,54.0377,35.2695,5.03374,13.2677,52.2708,6.70054,3.96698,14.9012,50.7041,129.144,6.36718,38.4697,54.0377,35.2695,5.03374,13.2677,52.2708,6.70054,3.96698,14.9012,50.7041,90.6743,47.67052,22.001800000000003,47.23706,-8.20066,46.73712
AC3M1,ac,m,AC3,right,186.058,35.9613,0,300,50.2497,35.2057,0,300,12.7427,32.9731,1.27084,10.6132,186.058,35.9613,0,300,50.2497,35.2057,0,300,12.7427,32.9731,1.27084,10.6132,186.058,264.0387,50.2497,264.7943,11.47186,-22.359900000000003
AC3M2,ac,m,AC3,right,204.101,32.0054,0,300,48.0082,30.471800000000002,0,300,7.63463,29.305,0,300,204.101,32.0054,0,300,48.0082,30.471800000000002,0,300,7.63463,29.305,0,300,204.101,267.9946,48.0082,269.52819999999997,7.63463,270.695
AC4F1,ac,f,AC4,right,271.814,23.0011,0,300,3.4335,22.3678,0,300,1.16673,20.9677,0,300,271.814,23.0011,0,300,3.4335,22.3678,0,300,1.16673,20.9677,0,300,271.814,276.9989,3.4335,277.6322,1.16673,279.0323
AC4F2,ac,f,AC4,right,114.843,26.1688,0,300,74.3393,25.202,0,300,61.3049,23.0352,0,300,114.843,26.1688,0,300,74.3393,25.202,0,300,61.3049,23.0352,0,300,114.843,273.8312,74.3393,274.798,61.3049,276.9648
AC4F5,ac,f,AC4,right,187.948,30.9358,0,300,31.7025,30.0357,0,300,27.3689,28.769,0,300,187.948,30.9358,0,300,31.7025,30.0357,0,300,27.3689,28.769,0,300,187.948,269.0642,31.7025,269.9643,27.3689,271.231
AC5F2,ac,f,AC5,right,252.854,14.0345,0,300,26.1688,2.76689,0,300,11.8009,4.70038,0,300,252.854,14.0345,0,300,26.1688,2.76689,0,300,11.8009,4.70038,0,300,252.854,285.9655,26.1688,297.23311,11.8009,295.29962
AC5F3,ac,f,AC5,right,44.7702,9.26741,157.846,71.039,3.43361,8.334,20.6016,69.1722,3.23359,57.3046,26.0021,64.3385,44.7702,9.26741,157.846,71.039,3.43361,8.334,20.6016,69.1722,3.23359,57.3046,26.0021,64.3385,-113.0758,61.77159,-17.167990000000003,60.8382,-22.76851,7.033899999999996
AC5M2,ac,m,AC5,right,81.7732,45.0369,48.4039,0.966744,9.60077,44.4036,24.2353,3.46694,30.1357,43.3035,23.4352,8.16732,81.7732,45.0369,48.4039,0.966744,9.60077,44.4036,24.2353,3.46694,30.1357,43.3035,23.4352,8.16732,33.3693,-44.070156000000004,-14.634529999999998,-40.936659999999996,6.700500000000002,-35.136179999999996
AC5M4,ac,m,AC5,right,192.982,52.5709,5.13374,42.1034,40.4032,64.7718,1.33344,47.4705,8.16732,50.9707,3.60029,38.5698,192.982,52.5709,5.13374,42.1034,40.4032,64.7718,1.33344,47.4705,8.16732,50.9707,3.60029,38.5698,187.84826,-10.467500000000001,39.069759999999995,-17.301299999999998,4.56703,-12.4009
AC6F2,ac,f,AC6,right,198.449,11.0676,11.5676,103.508,20.9017,10.3008,4.50036,100.041,10.7675,8.96738,7.63394,98.6746,198.449,11.0676,11.5676,103.508,20.9017,10.3008,4.50036,100.041,10.7675,8.96738,7.63394,98.6746,186.8814,92.4404,16.40134,89.7402,3.13356,89.70721999999999
AC6M2,ac,m,AC6,right,158.179,17.5347,21.0684,129.81,20.0016,16.368,9.56743,128.644,20.1683,15.2346,12.801,126.443,158.179,17.5347,21.0684,129.81,20.0016,16.368,9.56743,128.644,20.1683,15.2346,12.801,126.443,137.1106,112.2753,10.43417,112.27600000000001,7.367299999999998,111.2084
AC6M3,ac,m,AC6,right,196.482,23.0685,0,300,35.1695,17.7681,0,300,49.704,1.86682,0,300,196.482,23.0685,0,300,35.1695,17.7681,0,300,49.704,1.86682,0,300,196.482,276.9315,35.1695,282.2319,49.704,298.13318
AC7F3,ac,f,AC7,right,204.216,34.9695,1.96682,289.49,27.1355,33.2693,2.46686,286.456,15.9346,23.9686,2.9669,284.623,204.216,34.9695,1.96682,289.49,27.1355,33.2693,2.46686,286.456,15.9346,23.9686,2.9669,284.623,202.24918,254.52050000000003,24.66864,253.18670000000003,12.9677,260.6544
AC7F3,ac,f,AC7,right,214.317,33.6694,1.56679,289.69,20.0016,32.4693,1.96682,288.656,16.068,24.6353,4.76705,284.389,214.317,33.6694,1.56679,289.69,20.0016,32.4693,1.96682,288.656,16.068,24.6353,4.76705,284.389,212.75021,256.0206,18.03478,256.18670000000003,11.30095,259.7537
AC7M1,ac,m,AC7,right,3.63362,2.1335,198.216,23.7019,5.86714,3.36694,21.7017,22.4685,11.7343,0.900072,16.0013,21.2684,3.63362,2.1335,198.216,23.7019,5.86714,3.36694,21.7017,22.4685,11.7343,0.900072,16.0013,21.2684,-194.58238,21.568399999999997,-15.83456,19.10156,-4.267000000000001,20.368327999999998
AC7M2,ac,m,AC7,right,125.677,16.168,5.70046,63.5384,50.404,14.2345,2.20018,62.005,50.8707,11.2009,3.23359,40.8033,125.677,16.168,5.70046,63.5384,50.404,14.2345,2.20018,62.005,50.8707,11.2009,3.23359,40.8033,119.97654,47.370400000000004,48.20382,47.7705,47.63711,29.6024
C2F1,c,f,C2,right,61.6716,138.311,103.808,4.36702,6.86722,137.578,33.136,3.56695,20.4016,136.011,29.3357,2.26685,61.6716,138.311,103.808,4.36702,6.86722,137.578,33.136,3.56695,20.4016,136.011,29.3357,2.26685,-42.13640000000001,-133.94398,-26.268780000000003,-134.01105,-8.9341,-133.74415
C2F2,c,f,C2,right,248.52,22.3351,0,300,26.3354,21.3684,0,300,1.06675,20.1016,0,300,248.52,22.3351,0,300,26.3354,21.3684,0,300,1.06675,20.1016,0,300,248.52,277.6649,26.3354,278.6316,1.06675,279.8984
